# time [BJD], relative flux, relative flux error
2.458444222220028285e+06,1.009391860151079401e+00,6.892395898369776952e-03
2.458444243053236511e+06,1.025874411255687457e+00,6.900232300102880981e-03
2.458444263886443805e+06,1.027287177537021368e+00,6.905218586915038564e-03
2.458444284719650168e+06,1.005532336592317666e+00,6.896224932420277551e-03
2.458444305552856531e+06,1.031196276114592747e+00,6.901859637752768770e-03
2.458444326386061963e+06,1.020640308021119269e+00,6.898526369844097499e-03
2.458444347219266929e+06,1.020714506897236973e+00,6.893041603088718647e-03
2.458444368052470963e+06,1.027176178164443732e+00,6.902999131745634308e-03
2.458444388885674998e+06,1.040738232667875129e+00,6.911819427571163840e-03
2.458444409718877636e+06,1.003304843274138713e+00,6.886286057788374923e-03
2.458444430552080274e+06,1.034633870377265064e+00,6.899567272834743192e-03
2.458444451385282446e+06,1.025949389335758966e+00,6.897357224347437990e-03
2.458444472218483221e+06,1.007688665075245238e+00,6.892302933865992673e-03
2.458444493051683996e+06,1.014452808191486088e+00,6.893100631821625496e-03
2.458444513884884305e+06,1.020185158862092267e+00,6.897520085227970381e-03
2.458444534718083218e+06,1.019383901418952298e+00,6.892082178387773199e-03
2.458444555551282130e+06,1.032841144865606964e+00,6.903553484951329734e-03
2.458444576384490822e+06,1.010048460768034895e+00,6.885472467139205910e-03
2.458444597217688337e+06,1.031285503340494847e+00,6.899815832759138672e-03
2.458444618050885387e+06,1.024891365623719519e+00,6.901637832193861094e-03
2.458444638884081971e+06,1.021922955856486404e+00,6.897576582803098197e-03
2.458444659717277624e+06,1.028156670183877575e+00,6.908245504049831745e-03
2.458444680550472811e+06,1.014521242454392569e+00,6.894304981851493742e-03
2.458444701383667532e+06,1.029023138231198287e+00,6.902171834879864375e-03
2.458444722216861323e+06,1.009665606799266646e+00,6.889376555601110265e-03
2.458444743050054647e+06,1.008784163380692434e+00,6.883413282048870055e-03
2.458444763883247506e+06,1.024435068872811438e+00,6.898773673151573950e-03
2.458444784716439433e+06,1.013396964913023002e+00,6.889026035451365285e-03
2.458444805549630895e+06,1.015405656035728521e+00,6.891532836638011167e-03
2.458444826382821891e+06,1.027654510074313077e+00,6.899065409672448974e-03
2.458444847216011956e+06,1.023945962267502230e+00,6.896675070264878665e-03
2.458444868049202021e+06,1.006105452610730255e+00,6.893056519203675549e-03
2.458444888882391155e+06,1.020739555530188580e+00,6.887289408003512484e-03
2.458444909715579357e+06,1.026003318533463382e+00,6.894316676813912366e-03
2.458444930548767094e+06,1.006254698751703369e+00,6.889636808212721772e-03
2.458444951381954364e+06,1.024251008423215259e+00,6.895991467959086164e-03
2.458444972215141170e+06,1.018843641949642276e+00,6.897545898254558994e-03
2.458444993048327044e+06,1.015198321722255548e+00,6.890658570439018096e-03
2.458445013881512918e+06,1.017530636638942720e+00,6.885467592552053581e-03
2.458445034714697395e+06,1.034907900943220271e+00,6.906910343348497683e-03
2.458445055547881871e+06,1.001635536064352738e+00,6.887325625943776543e-03
2.458445076381065417e+06,1.015056967913861907e+00,6.894868681816925145e-03
2.458445097214248031e+06,1.028511939618405258e+00,6.895314408167574870e-03
2.458445118047430646e+06,1.028595718264752712e+00,6.898433885856529446e-03
2.458445138880612329e+06,1.023950495424698959e+00,6.893605346034431709e-03
2.458445159713793546e+06,1.017064827713920927e+00,6.893996046103825076e-03
2.458445180546974298e+06,1.008286956592211459e+00,6.890535026801698597e-03
2.458445201380154118e+06,1.013479707910258432e+00,6.892548624155591004e-03
2.458445222213333473e+06,1.017667243223290274e+00,6.889626378884009493e-03
2.458445243046512362e+06,1.029374549912448478e+00,6.900907371498976942e-03
2.458445263879690319e+06,1.029552646335734734e+00,6.892986750700636454e-03
2.458445284712867811e+06,1.008502976694939157e+00,6.896513604328696409e-03
2.458445305546044838e+06,1.014593920077978995e+00,6.892910494627885014e-03
2.458445326379220933e+06,1.020232303254353656e+00,6.887692324810202119e-03
2.458445347212396562e+06,1.021252466249320534e+00,6.894813607876270657e-03
2.458445368045571726e+06,1.013191104144438803e+00,6.885345988998812713e-03
2.458445388878746424e+06,1.004940875094801012e+00,6.886136548915686509e-03
2.458445409711920191e+06,1.005749242249035502e+00,6.883351164714046448e-03
2.458445430545093492e+06,1.000173524080720133e+00,6.883209026621518734e-03
2.458445451378265861e+06,1.001892752877436843e+00,6.891403295978551502e-03
2.458445472211437766e+06,1.001366825921174319e+00,6.879388366028721391e-03
2.458445493044609204e+06,1.023399825281662734e+00,6.895534094783745127e-03
2.458445513877780177e+06,1.005013636098067487e+00,6.887111607036557753e-03
2.458445534710950218e+06,1.024258940716534783e+00,6.889943831850981262e-03
2.458445555544119794e+06,1.016736682389737467e+00,6.891117310932404379e-03
2.458445576377288904e+06,1.008307431887506045e+00,6.884533519477709952e-03
2.458445597210457083e+06,1.007509462827941960e+00,6.885995824403206081e-03
2.458445618043624796e+06,1.017898662667934051e+00,6.897519877410865710e-03
2.458445638876792043e+06,1.024084931142890786e+00,6.899636373196054578e-03
2.458445659709958360e+06,9.950300194387665664e-01,6.887109072630536767e-03
2.458445680543124210e+06,1.015982868907405301e+00,6.887442185495536162e-03
2.458445701376289595e+06,1.011874217189436598e+00,6.887270475003786328e-03
2.458445722209454048e+06,1.030116486468297232e+00,6.896423574552916144e-03
2.458445743042618502e+06,1.013195342235680085e+00,6.892328245294495302e-03
2.458445763875782024e+06,9.967325036776053526e-01,6.876468742295980055e-03
2.458445784708944615e+06,1.008559735872344820e+00,6.887686402777879260e-03
2.458445805542106740e+06,1.020401669846328963e+00,6.888121992746479294e-03
2.458445826375268400e+06,1.014024487901401983e+00,6.894077244678922280e-03
