# time [BJD], relative flux, relative flux error
2.458424784691339359e+06,9.715702312214079539e-01,1.334303227869817511e-02
2.458424805524926167e+06,9.650592967829243474e-01,1.334931380097157880e-02
2.458424826358512975e+06,9.820723131255677529e-01,1.334592936529974128e-02
2.458424847192099318e+06,9.715280826027071770e-01,1.334176926786204316e-02
2.458424868025685195e+06,9.760679022161729002e-01,1.334570067983541566e-02
2.458424909692855552e+06,9.702619367875386924e-01,1.334481354964952259e-02
2.458424951360024046e+06,9.764319198362757524e-01,1.333964472952161966e-02
2.458424972193607595e+06,9.826815681999654384e-01,1.334815905845819321e-02
2.458424993027190678e+06,9.714836352859140822e-01,1.334590651383194687e-02
2.458425013860772830e+06,9.720403808709607851e-01,1.333383927384296577e-02
2.458425034694354516e+06,9.701962179092732397e-01,1.335068267076738521e-02
2.458425055527935736e+06,9.777226100556171140e-01,1.334524677733506248e-02
2.458425076361516491e+06,9.663968352848401056e-01,1.333548186815194068e-02
2.458425097195096780e+06,9.561045263275975703e-01,1.333944832085382469e-02
2.458425118028676137e+06,9.932837495640859382e-01,1.335605963397171539e-02
2.458425138862255495e+06,9.963808483007727812e-01,1.335268601006437718e-02
2.458425159695833456e+06,9.506429780518013128e-01,1.333278419989310931e-02
2.458425180529411417e+06,9.787078269417219811e-01,1.333898289098966496e-02
2.458425201362988446e+06,9.838162039644218204e-01,1.333760731436512206e-02
2.458425222196565010e+06,9.710030140626727535e-01,1.333834930962671250e-02
2.458425243030140642e+06,9.966722572128919877e-01,1.334473566816226503e-02
2.458425263863715809e+06,9.990283792917775685e-01,1.334763184802375061e-02
2.458425284697290510e+06,9.828688297254839501e-01,1.334605709830669756e-02
2.458425305530864280e+06,9.962568296268804469e-01,1.335011000262957027e-02
2.458425326364437584e+06,9.973635423204082473e-01,1.336020225971528905e-02
2.458425347198010422e+06,1.001078041775837590e+00,1.334993516188542721e-02
2.458425368031582329e+06,9.748445590138852257e-01,1.334545521990740218e-02
2.458425388865153305e+06,9.529400842644645264e-01,1.332939193739423635e-02
2.458425409698723815e+06,9.993164721838136977e-01,1.334955771821036072e-02
2.458425430532293860e+06,9.872882898870783963e-01,1.333833946262305038e-02
2.458425451365863439e+06,9.635110361074790131e-01,1.333441600450492072e-02
2.458425472199431621e+06,9.738112562937829564e-01,1.335138128534440159e-02
2.458425493032999802e+06,1.013965804702499973e+00,1.335840831886334415e-02
2.458425513866567053e+06,9.868498611697416045e-01,1.334953465864864575e-02
2.458425534700133372e+06,9.747417698463854974e-01,1.332964928568280624e-02
2.458425555533699226e+06,9.828557238304223009e-01,1.333722126299140623e-02
2.458425576367264614e+06,9.754223632728090676e-01,1.334053655784185784e-02
2.458425597200829070e+06,1.019636290967225856e+00,1.335792793559420315e-02
2.458425618034392595e+06,1.013974220729230602e+00,1.335845210231974972e-02
2.458425638867955655e+06,1.010906914766766862e+00,1.336482738851795492e-02
2.458425659701518249e+06,9.712240417247772761e-01,1.333543999655443721e-02
2.458425680535079911e+06,1.000000000000000000e+00,1.334822016160118127e-02
2.458425701368640643e+06,1.005718422472983820e+00,1.335209330877682420e-02
2.458425722202201374e+06,9.867268724941323788e-01,1.333846364006477381e-02
2.458425743035760708e+06,9.841726677656399414e-01,1.334602515498989686e-02
2.458425763869319577e+06,9.849393027009736290e-01,1.334325935976964084e-02
2.458425784702877980e+06,9.828053023853735581e-01,1.335858836634682724e-02
2.458425805536435451e+06,9.798534453313136883e-01,1.335352947144523295e-02
