,index,Unnamed: 0,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
493,60,7,71412,SN 2020aakp,06:43:06.150,-74:12:49.46,SN Ia,0.028,PGC19480,0.023,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",ePESSTO+,ASAS-SN; GaiaAlerts,ASASSN-20ol,"ASASSN-2 - Cassius, ASASSN-3 - Paczynski, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.519000000000002,g-Sloan,2020-11-18 04:23:31.200,Bersier,,,31
505,72,83,70522,SN 2020zdm,06:29:22.293,-48:51:58.30,SN Ia,0.05,WISEA J062922.45-485200.8,,"ASAS-SN, ATLAS","ASAS-SN, ATLAS",ePESSTO+,ASAS-SN; ATLAS,ASASSN-20nz,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.8,g-Sloan,2020-11-10 06:43:12.000,Vallely,,,31
509,76,90,70472,SN 2020zbo,03:22:16.063,-33:49:17.95,SN Ia,0.04327,WISEA J032216.20-334917.9,,"ASAS-SN, ATLAS","ASAS-SN, ATLAS",Global SN Project,ASAS-SN; ATLAS,ASASSN-20nv,"ASASSN-2 - Cassius, ASASSN-3 - Paczynski, ATLAS1 - ACAM1",FTN - FLOYDS-N,1,1,,17.0,g-Sloan,2020-11-06 06:43:12.000,Vallely,,,31
523,90,181,69912,SN 2020ygv,07:48:36.880,-60:19:35.04,SN Ia,0.05,,,GaiaAlerts,GaiaAlerts,ePESSTO+,GaiaAlerts,Gaia20eyy,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,17.5,G-Gaia,2020-10-26 08:16:47.000,Gaia_Bot1,,,31
527,94,200,69692,SN 2020xyw,07:28:08.020,-62:21:28.91,SN Ia,0.010814,IC2200,,"DLT40, GaiaAlerts","DLT40, GaiaAlerts",Global SN Project,DLT40; GaiaAlerts,DLT20q,"Gaia - Gaia-photometric, Other - Other",FTS - FLOYDS-S,1,1,,16.5191,Clear-,2020-10-22 16:41:01.824,DLT40_bot1,,,31
558,125,99,74617,SN 2021fv,08:43:48.913,+02:43:12.12,SN Ia,0.03,,,"ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1",ePESSTO+,ATLAS; Pan-STARRS1,ATLAS21aao,"ATLAS1 - ACAM1, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.855,orange-ATLAS,2021-01-04 13:10:33.600,ATLAS_Bot1,,,33
598,165,131,76921,SN 2021clw,05:51:19.939,-50:34:57.14,SN Ia,0.0234,NGC 2115,0.023389,ASAS-SN,ASAS-SN,ePESSTO+,ASAS-SN,ASASSN-21bg,"ASASSN-2 - Cassius, ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin",ESO-NTT - EFOSC2-NTT,1,1,,16.7,g-Sloan,2021-02-10 03:50:24.000,Vallely,,,35
608,175,111,79325,SN 2021fxy,13:13:01.570,-19:30:45.18,SN Ia,0.0094,NGC5022,,"ATLAS, ALeRCE, Pan-STARRS1, AMPEL, GaiaAlerts","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts",SIRAH,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1",SALT - RSS,1,1,,16.9,Clear-,2021-03-17 17:23:37.000,Itagaki,,,36
618,185,154,80911,SN 2021iff,08:40:57.912,-67:01:44.51,SN Ia,0.03,PGC 299844,,ASAS-SN,ASAS-SN,ePESSTO+,ASAS-SN,ASASSN-21ex,"ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin",ESO-NTT - EFOSC2-NTT,1,1,,17.3,g-Sloan,2021-04-04 20:09:36.000,Stanek,,,37
620,187,181,80659,SN 2021hvo,13:22:51.335,-40:46:36.15,SN Ia,0.051,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS21jom,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.907,orange-ATLAS,2021-04-03 10:45:07.200,ATLAS_Bot1,,,37
