# time [BJD], relative flux, relative flux error
2.458360764894067310e+06,8.688562828539584393e-01,6.661811591701513428e-03
2.458360785727307200e+06,8.793081204970496501e-01,6.669785872636083308e-03
2.458360806560546625e+06,8.797770870174534963e-01,6.672723019151645743e-03
2.458360827393785585e+06,8.833309628729000273e-01,6.669198736786487169e-03
2.458360848227024078e+06,8.764997033292593054e-01,6.671843246233145203e-03
2.458360869060262106e+06,8.760937791647840367e-01,6.676716724952964921e-03
2.458360889893499669e+06,8.908419418896079689e-01,6.681228313472753824e-03
2.458360910726736765e+06,8.990687390851401783e-01,6.678128939827950895e-03
2.458360931559973396e+06,8.873412085738544564e-01,6.673219770773414043e-03
2.458360952393210027e+06,8.745101312198564347e-01,6.669755389457253207e-03
2.458360973226445727e+06,8.836330410362482901e-01,6.673295191038813336e-03
2.458360994059680961e+06,8.845678504503399209e-01,6.673508495487607411e-03
2.458361014892916195e+06,8.730288022761926170e-01,6.665680238589548508e-03
2.458361035726150498e+06,8.840927320864045980e-01,6.669023717076476808e-03
2.458361056559384800e+06,8.752851668657195550e-01,6.664859047982961762e-03
2.458361077392618638e+06,8.902353913850471478e-01,6.670927728323733027e-03
2.458361098225852009e+06,8.920702704536620509e-01,6.671307691611470803e-03
2.458361119059084915e+06,8.805858440185312386e-01,6.666095115913111928e-03
2.458361139892316889e+06,8.836758321480149281e-01,6.668487546003186092e-03
2.458361202392011881e+06,8.862992503595679139e-01,6.667140076563142330e-03
2.458361223225242458e+06,8.770532574218142807e-01,6.665088015802273988e-03
2.458361244058472570e+06,8.842497629337957576e-01,6.660474686169785483e-03
2.458361264891702216e+06,8.946870960441971610e-01,6.663274503576192311e-03
2.458361285724931862e+06,8.855177407383890698e-01,6.657742941643926375e-03
2.458361306558160577e+06,8.952940504647792785e-01,6.659826792094434948e-03
2.458361327391389292e+06,8.879281230878369735e-01,6.663185926421889144e-03
2.458361348224617541e+06,8.842362300821962062e-01,6.657136888802393793e-03
2.458361369057845324e+06,8.751044349277466994e-01,6.652804397430922383e-03
2.458361389891072176e+06,8.925138652863791044e-01,6.659446590794748481e-03
2.458361410724299029e+06,8.769002386948501204e-01,6.657824886732540380e-03
2.458361431557525415e+06,8.836249268830413950e-01,6.656245749340995374e-03
2.458361452390751336e+06,8.857753812458331044e-01,6.651361445595808247e-03
2.458361473223976791e+06,8.806137359971960565e-01,6.647091094250948996e-03
2.458361494057201780e+06,8.842876531345281732e-01,6.648046343332386296e-03
2.458361514890426304e+06,8.979892877167210408e-01,6.659460409234806491e-03
2.458361535723650362e+06,8.761756131050403296e-01,6.646441482096868830e-03
2.458361556556874420e+06,8.835858867590787868e-01,6.645555183655559549e-03
2.458361577390097547e+06,8.935068311917403472e-01,6.649238006439077593e-03
2.458361598223320208e+06,8.848475176244694484e-01,6.641712443186014066e-03
2.458361619056542870e+06,8.772024146802257505e-01,6.637245292439518732e-03
2.458361660722986795e+06,8.937209208017137252e-01,6.645051885444576943e-03
2.458361681556207594e+06,8.958177914287203114e-01,6.649456949999426117e-03
2.458361702389428392e+06,8.896993946429663236e-01,6.637948069616314735e-03
2.458361723222648725e+06,8.849883107433262897e-01,6.634773412156290059e-03
2.458361744055868592e+06,8.978847736152112402e-01,6.640795523928369123e-03
2.458361764889087994e+06,8.960566476920950318e-01,6.635235867822611260e-03
2.458361785722306930e+06,8.746260410863275769e-01,6.632395190824655687e-03
2.458361806555525400e+06,8.829237027180520947e-01,6.636567824979275332e-03
2.458361827388743404e+06,8.840307289444817584e-01,6.632726597811615561e-03
2.458361848221961409e+06,8.898464035978216335e-01,6.632936561730778079e-03
2.458361869055178482e+06,8.962228378042896848e-01,6.628361596867781043e-03
2.458361889888395555e+06,8.838878598737418546e-01,6.628098722540944412e-03
2.458361910721611697e+06,8.921328677669034812e-01,6.630399920351931313e-03
2.458361931554827839e+06,8.990616705882104043e-01,6.626038210421890742e-03
2.458361952388043050e+06,8.947867195345949876e-01,6.621115433443070832e-03
2.458361973221258260e+06,8.972043067695542051e-01,6.625053491195412141e-03
2.458361994054473005e+06,8.940526666217452068e-01,6.616318629937328367e-03
2.458362014887687284e+06,8.990362169373186108e-01,6.620962163761674561e-03
2.458362035720901098e+06,9.028005037014000811e-01,6.613431850814374159e-03
2.458362056554114446e+06,8.923999118072316605e-01,6.615036954717299494e-03
2.458362077387327794e+06,8.807254668638702100e-01,6.604315998946706963e-03
2.458362098220540211e+06,8.923021340423350489e-01,6.611544538955915935e-03
2.458362119053752162e+06,8.934305567846795304e-01,6.611508432653630252e-03
2.458362139886963647e+06,8.865588499073260298e-01,6.605047713345146149e-03
2.458362160720175132e+06,8.934921754368854163e-01,6.607047132716843164e-03
